,"Site","Year","Month","Week","x","LogNormalized"
"262","Inverclyde - Gourock",2022,"01","02",83.067148480429,4.41964929855456
"263","Jedburgh",2022,"01","02",108.816618388807,4.68966406530207
"264","Kelso",2022,"01","02",75.4952028979159,4.32406911646042
"265","Kircaldy",2022,"01","02","NA","NA"
"266","Kirkcaldy",2022,"01","02",181.766094700863,5.20272066655547
"267","Kirkwall",2022,"01","02",14.8772592153349,2.69983381992161
"268","Largs",2022,"01","02",95.6058336438297,4.5602338395746
"269","Lerwick",2022,"01","02","NA","NA"
"270","Levenmouth",2022,"01","02",84.1699399984206,4.43283785036141
"271","Linlithgow",2022,"01","02",43.6735494049502,3.77674264207301
"272","Loch Ryan",2022,"01","02",26.9201144534173,3.29287375638032
"273","Lockerbie",2022,"01","02",152.619996080458,5.02795114617978
"274","Lossiemouth",2022,"01","02","NA","NA"
"275","Meadowhead",2022,"01","02",55.3594014640468,4.01384649954661
"276","Meadowhead ",2022,"01","02","NA","NA"
"277","Meadowhead - Kilmarnock HMP",2022,"01","02",4.81178358626736,1.57106782334118
"278","Montrose",2022,"01","02",46.2179640505866,3.8333685547758
"279","Nairn",2022,"01","02",24.5478130555335,3.20062276903156
"280","Neilston",2022,"01","02",39.7590371135937,3.68283716403018
"281","Newbridge",2022,"01","02",89.6630717041986,4.49605899761177
"282","Newtown St Boswell",2022,"01","02",89.211260353098,4.49100726876108
"283","Nigg",2022,"01","02",105.825833955163,4.66179466688775
"284","Oban",2022,"01","02",48.1429284383392,3.87417426221101
"285","Paisley",2022,"01","02",63.2997375192022,4.14788118252545
"286","Paisley - Blackhall",2022,"01","02",42.9658762549507,3.7604062251796
"287","Paisley - Brediland",2022,"01","02",24.9296597357173,3.21605824865441
"288","Penicuik",2022,"01","02",79.1564169295779,4.37142585606135
"289","Persley",2022,"01","02",193.826808035572,5.26696501824711
"290","Perth",2022,"01","02",138.518649710771,4.93100497151365
"291","Peterhead",2022,"01","02",66.0825895212097,4.19090531611454
"292","Philipshill",2022,"01","02",93.1220316513106,4.53391080130645
"293","Seafield",2022,"01","02",87.1135937411629,4.46721294218776
"294","Seafield - Cockenzie",2022,"01","02",54.6456351252988,4.00086934181338
"295","Seafield - Muirhouse",2022,"01","02","NA","NA"
"296","Seafield - Restalrig",2022,"01","02","NA","NA"
"297","Shieldhall",2022,"01","02",51.940881015345,3.95010616826527
"298","Shieldhall - Barrhead",2022,"01","02",88.5075770855597,4.48308816513496
"299","Shieldhall - Gorbals",2022,"01","02",116.171292117652,4.75506575810838
"300","Shotts",2022,"01","02",70.9696373621243,4.26225214278908
"301","Springfield",2022,"01","02",47.2332935693638,3.85509901616572
"302","Stevenston",2022,"01","02",39.8316213768275,3.68466110379228
"303","Stevenston - Stevenston East",2022,"01","02",18.6899270735199,2.92798471956151
"304","Stevenston - Stevenston West",2022,"01","02",282.905292546557,5.64511218632113
"305","Stirling",2022,"01","02",74.2432559423902,4.30734694449888
"306","Stirling - University",2022,"01","02",47.4014583350417,3.85865299478981
"307","Troqueer",2022,"01","02",149.786896724774,5.00921359546
"308","Winchburgh",2022,"01","02",137.005175789839,4.92001870460237
"309","Allanfearn",2021,"01","03",26.1830307674959,3.26511152030142
"310","Allers",2021,"01","03",55.6374698023483,4.01885689158466
"311","Alloa",2021,"01","03",45.140730896547,3.80978496302939
"312","Annan",2021,"01","03",19.43403256282,2.96702578497517
"313","Armadale",2021,"01","03",15.6653027984353,2.75144825383338
"314","Bathgate",2021,"01","03",0,"-Inf"
"315","Biggar",2021,"01","03",0,"-Inf"
"316","Blackburn",2021,"01","03",18.408627823428,2.91281945816125
"317","Blackridge",2021,"01","03",9.75194874306957,2.27746713612225
"318","Bothwellbank",2021,"01","03",44.7137475860578,3.80028100659582
"319","Carbarns",2021,"01","03",25.0932866726129,3.22260034712055
"320","Dalbeattie",2021,"01","03","NA","NA"
"321","Daldowie",2021,"01","03",89.4543811954613,4.4937287880226
"322","Dalmuir",2021,"01","03",34.5637846841477,3.54280644847669
"323","Dalscone",2021,"01","03","NA","NA"
"324","Dunfermline",2021,"01","03",23.8976298504001,3.17377928458052
"325","Dunnswood",2021,"01","03",36.4790267094492,3.59673748473643
"326","East Calder",2021,"01","03",16.3799617282135,2.79605874192729
"327","Falkirk",2021,"01","03",21.6442378814483,3.07473927036176
"328","Fauldhouse",2021,"01","03",18.0752896645394,2.89454579361708
"329","Fort William",2021,"01","03",1.13352197974843,0.125329581821492
"330","Galashiels",2021,"01","03",2.00964621970135,0.697958696480558
"331","Hamilton",2021,"01","03",18.1743194711545,2.9000095795909
"332","Harthill",2021,"01","03",0.507372627147595,-0.678509580557155
"333","Hatton",2021,"01","03",31.9858768783796,3.46529445782659
"334","Hawick",2021,"01","03",25.9210596535254,3.25505575234309
"335","Helensburgh",2021,"01","03",70.672148009723,4.25805154917113
"336","Inverclyde",2021,"01","03",44.3140661106677,3.79130214608063
"337","Kirkwall",2021,"01","03",1.63257132365005,0.490156271045655
