,Site,Year,Month,Week,x
573,Perth,2022,01,04,26.2566666666667
574,Peterhead,2022,01,04,111.86
575,Philipshill,2022,01,04,56.9766666666667
576,Seafield,2022,01,04,58.415
577,Seafield - Restalrig,2022,01,04,NA
578,Shieldhall,2022,01,04,53.1233333333333
579,Shieldhall - Pollockshields West,2022,01,04,77.29
580,Springfield,2022,01,04,19.73
581,Stevenston,2022,01,04,31.4
582,Stirling,2022,01,04,27.235
583,Stirling - University,2022,01,04,13.84
584,Swinstie,2022,01,04,34.09
585,Troqueer,2022,01,04,60.44
586,Winchburgh,2022,01,04,NA
587,Ardoch,2022,01,05,44.2
588,Banchory,2022,01,05,NA
589,Carbarns,2022,01,05,74.03
590,Coldstream,2022,01,05,9.7
591,Daldowie,2022,01,05,52.47
592,Dalmuir,2022,01,05,44.33
593,Dunfermline,2022,01,05,75.68
594,East Calder,2022,01,05,69.14
595,Erskine,2022,01,05,50.95
596,Falkirk,2022,01,05,93.24
597,Forfar,2022,01,05,96.9
598,Fort William,2022,01,05,NA
599,Guardbridge,2022,01,05,27.05
600,Hamilton,2022,01,05,86.91
601,Hatton,2022,01,05,73.88
602,Helensburgh,2022,01,05,128.12
603,Inverclyde,2022,01,05,40.69
604,Kinneil,2022,01,05,96.11
605,Kirkcaldy,2022,01,05,NA
606,Kirkwall,2022,01,05,41.42
607,Lanark,2022,01,05,24.9
608,Lerwick,2022,01,05,NA
609,Levenmouth,2022,01,05,57.96
610,Meadowhead,2022,01,05,39.19
611,Montrose,2022,01,05,NA
612,Neilston,2022,01,05,34.97
613,Nigg,2022,01,05,80.42
614,Paisley,2022,01,05,85.32
615,Perth,2022,01,05,25.92
616,Peterhead,2022,01,05,54.16
617,Philipshill,2022,01,05,NA
618,Seafield,2022,01,05,99.07
619,Stevenston,2022,01,05,NA
620,Stirling,2022,01,05,28.25
621,Strathaven,2022,01,05,43.36
622,Thurso,2022,01,05,48.03
623,Wick,2022,01,05,100.24
624,Allanfearn,2021,02,05,20.0766666666667
625,Allers,2021,02,05,17.52
626,Alloa,2021,02,05,43.725
627,Annan,2021,02,05,15
628,Armadale,2021,02,05,16.63
629,Bathgate,2021,02,05,73.38
630,Biggar,2021,02,05,18.4
631,Blackburn,2021,02,05,9.67
632,Blackridge,2021,02,05,109.48
633,Blackwood,2021,02,05,73.31
634,Bothwellbank,2021,02,05,1.86
635,Bowhouse,2021,02,05,7.56
636,Carbarns,2021,02,05,103.13
637,Cupar,2021,02,05,12.015
638,Dalbeattie,2021,02,05,NA
639,Daldowie,2021,02,05,68.79
640,Dalmarnock,2021,02,05,NA
641,Dalmuir,2021,02,05,35.355
642,Dalscone,2021,02,05,NA
643,Dunfermline,2021,02,05,19.19
644,Dunnswood,2021,02,05,71.67
645,East Calder,2021,02,05,19.37
646,Falkirk,2021,02,05,69.85
647,Fauldhouse,2021,02,05,18.205
648,Fort William,2021,02,05,0.61
649,Fraserburgh,2021,02,05,19.6866666666667
650,Galashiels,2021,02,05,2.42
651,Guardbridge,2021,02,05,0
652,Hamilton,2021,02,05,33.63
653,Harthill,2021,02,05,3.49
654,Hatton,2021,02,05,43.29
655,Hawick,2021,02,05,3.52
656,Helensburgh,2021,02,05,22.54
657,Inverclyde,2021,02,05,15.51
658,Ironmill Bay,2021,02,05,8.04
659,Kincardine,2021,02,05,338.13
660,Kirkcaldy,2021,02,05,9.81
661,Kirkwall,2021,02,05,0
662,Lanark,2021,02,05,22.99
663,Lerwick,2021,02,05,0
664,Lesmahagow,2021,02,05,127.35
665,Levenmouth,2021,02,05,25.78
666,Linlithgow,2021,02,05,5.255
667,Lockerbie,2021,02,05,1.935
668,Lossiemouth,2021,02,05,NA
669,Mauldslie,2021,02,05,77.95
670,Maybole,2021,02,05,1.8
671,Meadowhead,2021,02,05,41.0366666666667
672,Nairn,2021,02,05,0.84
673,New Cumnock,2021,02,05,1539.12
674,Newburgh,2021,02,05,0.84
675,Newport & Tayport,2021,02,05,1.46
676,Nigg,2021,02,05,11.8333333333333
677,Peebles,2021,02,05,0
678,Peterhead,2021,02,05,40.9433333333333
679,Philipshill,2021,02,05,26.42
680,Seafield,2021,02,05,17.53
681,Shieldhall,2021,02,05,59.1125
682,Shotts,2021,02,05,48.68
683,Skellyton,2021,02,05,108.67
684,Springfield,2021,02,05,4.54
685,St Andrews,2021,02,05,1.59
686,Stirling,2021,02,05,60.81
687,Stonehouse,2021,02,05,7.73
688,Stornoway,2021,02,05,26.42
689,Strathaven,2021,02,05,8.17
690,Swinstie,2021,02,05,44.08
691,Whitburn,2021,02,05,26.83
692,Winchburgh,2021,02,05,5.065
693,Allanfearn,2022,02,05,22.485
694,Alloa,2022,02,05,59.505
695,Alness,2022,02,05,NA
696,Alva,2022,02,05,635.26
697,Annan,2022,02,05,26.06
698,Ardoch,2022,02,05,58.45
699,Armadale,2022,02,05,210.535
700,Aviemore,2022,02,05,25.32
701,Banchory,2022,02,05,120.19
702,Banff,2022,02,05,48.16
703,Bathgate,2022,02,05,75.13
704,Blackburn,2022,02,05,37.86
705,Blackridge,2022,02,05,111.66
706,Boness,2022,02,05,34.81
707,Bonnybridge,2022,02,05,122.18
708,Carbarns,2022,02,05,127.83
709,Cumnock,2022,02,05,73.32
