,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Sanquhar,,,33.32,,,377.085,18.94,,,,,,12.73,69.935,,,,,,,,1.605,7.735,,,56.41,,,47.12,,0.995,,,137.38,6.77,,,,,,122.83,,8.535,22.495,,,,,,349.75,11.575,,,,,10.125,,,36.93,9.055,,,,141.23,,,,,,,,,,,,17.41,9.29,,,,,,0,144.255,58.425,,697.76,,,
Seafield,71.55,3.11,171.445,96.64,19.65,162.173333333333,56.9975,5.33333333333333,2.65,,67.6766666666667,,141.415,29.6,30.19,37.7925,75.1533333333333,,12.9266666666667,130.643333333333,,19.3533333333333,55.99,,110.28,21.1633333333333,,4.88,70.4025,3.2,12.61,,14.93,136.95,64.5,,96.37,,13.2666666666667,205.88,30.3733333333333,34.69,45.7625,32.33,7.61666666666667,,,24.03,10.23,85.7766666666667,2.71333333333333,,1.525,67.585,2.79,7.21666666666667,28.48,5.87,98.9233333333333,30.78,,1.28,14.25,109.713333333333,214.36,53.41,20.97,45.4733333333333,58.415,9.86,11.49,,,11.78,17.53,50.4025,4.34333333333333,,36.1,9.5,131.03,75.71,1.16,26.1833333333333,44.72,11.55,113.17,40.95,,0
Seafield - Cockenzie,54.65,,469.79,,,NA,,,,,,,15.75,107.105,,4.7,52.91,,,,,0.238,215.87,,,,,,48.41,,,,,,NA,,31.78,,,,6.295,,50.03,9.455,,,,,,NA,,,,32.91,,,,,NA,23.49,,,,27.705,,,,25.33,,,,,,,,639.04,,,51.14,,300.56,,,4.935,48.985,,47.11,,,
Seafield - Craigmillar,,,,,,,,,,,,,NA,,,NA,,,,NA,,,,,,,,,NA,,,,,,,,,,,,,,NA,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,,,,,,
Seafield - Muirhouse,NA,,,,,,,,,,,,NA,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,,,,,,
Seafield - Restalrig,NA,,,,,,,,,,,,NA,,,NA,,,,NA,,,,,,,,,NA,,,,,,,,,,,,,,NA,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,,NA,,,,,,,,,
Seafield - Tranent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Seafield - Western General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,
Selkirk,,0.7,25.685,,,67.9,21.09,0.795,,,,,,,,70.075,,,,,,0,,,,14.37,,,,0,0,,,8.96,154.855,,32.78,,,,,,4.9,0,,,,,,36.34,0,,,6.92,,0.31,,,,66.57,,,,12.52,,,,,,0,,,,,,37.89,2.21,,,,40.52,,0,,10.73,,39.135,,,
Shieldhall,50.125,9.365,66.495,57.8025,17.8275,230.205,44.84,7.9025,33.026,0.1175,142.51,0.79,81.2,35.21,34.11,50.2475,150.44,6.695,26.3225,31.545,63.71,30.825,84.43,10.7466666666667,28.6,45.59,0.17,9.4725,55.655,7.92,19.025,21.4866666666667,27.32,125.54,41.925,0.168,81.5,0,24.1366666666667,209.36,15.455,41.4466666666667,43.19,44.27,21.255,24.53,,25.0266666666667,21.7466666666667,65.4966666666667,5.5,0.6,5.5725,43.125,,31.895,45.356,16.3625,163.75,60.24,0,1.49,18.7966666666667,68.125,335.96,95.27,39.4675,22.09,53.1233333333333,15.63,16.71,0,0,55.4875,59.1125,56.02,35.64,0.38,52.53,13.7633333333333,40.7733333333333,81.96,8.83,NA,50.4,21.17,238.295,66.0133333333333,0.78,0.8475
Shieldhall - Barrhead,90.705,0.84,73.12,,,125.3,,6.4,,,27.74,,173.795,27.985,,426.59,41.05,,,,,4.825,81.46,,,NA,,,,1.945,10.17,,,179.62,157.77,,59.15,,,,0.88,,95.85,30.77,,,,,,149.015,8.55,,,174.7,,1.7,,,135.55,NA,,,,11.13,,,,15.5,,,,,,,,65.64,5.595,,207.01,,105.82,,,10.405,84.04,,156.615,,,
Shieldhall - Gorbals,141.02,8.735,99.045,,,59.25,,4.782,,,64.53,,72.455,39.035,,39.85,52.855,,,,,10.05,51.98,,,,,,,13.195,86.095,,,75.14,19.82,,58.83,,,,10.595,,72.265,20.055,,,,,,17.46,4.665,,,18.53,,108.795,,,155.035,17.11,,,,83.625,,,,22.575,,,,,,,,385.52,30.585,,22.3,,60.15,,,46.81,37.03,,31.405,,,
Shieldhall - Govanhill,,39.01,,,,,,19.592,,,,,,,,,,,,,,,,,,,,,,11.885,60.715,,,,,,,,,,,,,,,,,,,,86.805,,,,,490.605,,,,,,,,,,,,,,,,,,,,,879.915,,,,,,,,,,,,,
Shieldhall - IMAX,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
Shieldhall - Pollockshields West,,,75.445,,,193.99,21.99,,,,43.4,,22.505,47.925,,74.665,22.325,,,39.13,,,5.56,,,20.78,,,16.93,,,,,112.71,8.01,,21.31,,,,19.26,,115.935,15.47,,,,,,59.055,,,,17.78,,,,,379.875,NA,,,,43.025,,,,3.36,77.29,,,,,,,76.745,,,,,43.375,,,122.892,27.43,,489.415,,,
Shieldhall - Science Centre,,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,NA,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,,
Shotts,70.97,6.49,58.04,31.04,,,113.13,3.68,,,,,194.26,9.61,,NA,81.02,,50.61,221.86,,0,,,65.57,,,,,11.26,1.53,,,233.33,79.53,,NA,,8.12,,6.57,9.88,37.01,126.74,23.21,,,,56.49,NA,15.81,,,66.52,,3.31,,,,NA,,,45.3,136.12,,91.56,,,,22.14,,,,,48.68,86.02,32.7,,,,NA,101.53,7.84,17.81,127.61,,59.7,,,
Skellyton,,3.16,104.18,,,,,1.3,,,,,306.52,65.5,272.62,118.17,,,6.94,3.09,,11.29,,,23.59,92.62,,,,,16.98,,,176.81,,,111.73,,207.25,,19.32,,62.44,174.5,4.19,,,,NA,,1.43,,,138.27,,,,,270.13,232.1,,,4.9,,,219.76,,,,,,,,,108.67,64.03,2.17,,,,98.25,,26.51,16.71,463.74,,418.04,,,
Springfield,47.23,11.705,3.52,,,727.48,44.08,22.045,,,35.63,,555.97,11.33,13.62,43.17,44.07,,4.07,337.615,,0.75,47.385,,0.72,31.48,,,38.16,1.42,0,,,150.59,124.895,,121.21,,1.97,,7.895,,46.09,319.4,23.805,,,,6.22,53.61,2.18,,,52.14,,0.305,,,,34.59,,,3.02,,,,,,19.73,8.3,,,,,4.54,46.1,0.195,,,,103.5,,0.28,2.005,40.62,,301.725,,,
St Andrews,,17.755,,,,215.255,48.58,26.48,,,104.47,,63.805,31.755,13.85,55.55,,,1.425,,,14.155,75.375,,0,69.45,,,,1.94,2.945,,,65.43,211.875,,95.69,,2.785,,10.165,,39.305,41.21,14.09,,,,0,280.56,0.87,,,29.86,,10.745,,,,93.15,,,32.145,57.92,60.86,,,28.45,,15.465,,,,,1.59,236.48,1.955,,,,73.08,,2.55,11.385,39.88,,75.09,63.89,,
St Andrews - University (2979),5.88,,,,,11.205,,,,,3.68,,15.92,,,4.71,344.08,,,,,,,,,200.95,,,,,,,,0,0.305,,12.3,,,,,,6.92,4.0425,,,,,,3.63,,,,0.03,,,,,27.805,,,,,,,,,0,,,,,,,,0.92,,,1.12,,,,,,,,5.45,2.64,,
St Andrews - University (4964),,,,,,9.345,,,,,19.435,,38.895,,,7.26,2.4,,,,,,,,,24.335,,,,,,,,58.27,15.335,,25.945,,,,,,10.135,0.322,,,,,,45.09,,,,4.71,,,,,3.9,,,,,,,,,0,,,,,,,,57.44,,,,,,,,,,,11.39,10.095,,
Stevenston,46.7333333333333,4.41,23.84,,,69.81,31.435,6.64,,,26.19,,53.085,18.93,,17.59,93.48,,3.8,5.49,,7.695,30.48,,46.34,39.34,,,25.6533333333333,0.86,3.32,,,43.315,34.87,,11.125,,9,96.77,9.705,,25.59,13.825,5.105,,,,9.74,81.66,2.3,,,60.9533333333333,1.76,10.095,,,75.195,14.755,,,22.675,23.765,,,,18.5,31.4,8.245,,,,,,25.915,3.24,,31.2,,104.34,43.22,1.295,8.235,11.265,,49.8,18.35,,
Stevenston - Stevenston East,18.69,,126.41,,,6.07,NA,,,,NA,,134.86,112.59,,54.26,77.99,,,,,7.925,28.22,,,,,,,,240.555,,,,36.75,,18.93,,,,2.775,,37.235,21.14,,,,,,29.57,0.435,,,38.635,1.66,0.93,,,100.51,,,,,184.35,,,,1.65,,,,,,,,3.175,0.55,,1.26,,477.53,9.68,0,5.95,4.65,,47.78,,,
Stevenston - Stevenston West,336.31,,23.91,,,165.78,31.59,,,,23.96,,124.295,3.67,,21.555,64.68,,,,,0.665,1.42,,,,,,,,3.7,,,,42.45,,42.07,,,,1.34,,10.735,230.93,,,,,,49.55,21.6,,,12.53,2.17,85.995,,,422.45,131.76,,,,17.77,,,,1.79,,,,,,,,20.685,7.5,,118.315,,47.46,,1.91,0.935,6.43,,NA,,,
Stirling,70.1966666666667,13.21,20.75,14.93,0.39,74.74,21.1333333333333,5.08,2,,21.83,0,137.24,1.13,3.64,39.2466666666667,NA,0,25.21,40.045,,5.22,,0,6.32,26.84,,0,46.0566666666667,3.21,1.32,12.49,3.25,56.63,21.39,,15.8,0,6.68,180.31,4.95,6.38,12.2133333333333,26.49,3.18,,,,9.54,47.155,1.93,,0,32.1333333333333,,0.74,6.94,,76.5,9.87,0,0.36,NA,57.33,207.14,27.67,59.74,29.55,27.235,14.16,1.71,,,3.67,60.81,58.0333333333333,5.19,,15.69,2.82,20.0133333333333,44.98,1.1,1.49,22.13,12.14,13.46,29.62,,0
Stirling - University,49.305,,,,,277.9,,,,,82.76,,0.11,,,37.21,4.675,,,NA,,,,,,5.79,,,,0.225,,,,NA,13.645,,,,,,,,259.555,,,,,,,12.6,0,,,0.13,,,,,6.93,5,,,,,,,,,13.84,,,,,,,,,,,,349.075,,1.05,,,,18.01,2.05,,
Stonehouse,,1.64,7.14,20.74,,252.74,,2.75,,,,,98.58,18.67,,74.51,,,0.63,3.62,,8.95,,,13,60.52,,,NA,,0,,,116.31,,,,,2.25,,5.19,23.39,66,24.35,9.53,,,,3.32,,0.93,,,95.61,,8.78,,,,21.19,,,8.11,56.53,304.3,8.08,,,,0.93,,,,,7.73,22.61,0.38,,,,59.3,,28.67,24.35,14.07,,254.68,,,
Stornoway,,NA,0,0.96,0,10.79,,0,0,,22.39,,NA,2.36,1.96,,,,NA,16.75,NA,0,,0,22.41,NA,,0,,0,0,,0,0,,,110.8,,1.13,,1.51,0,,18.12,,,,,NA,NA,0,,0,NA,,0,,0,95.59,15.17,,0,NA,7.55,,NA,,10.16,,0,,,,,26.42,NA,0,,,0,,5.5,0,0,33.16,,14.53,NA,,0
Strathaven,,9.56,,27.14,,,43.36,9.68,,,22.56,,22.01,,9.2,98.42,,,5.01,147.46,,0,,,2.4,66.65,,,,,2.18,,,,,,123.28,,46.4,,,29.96,43.4,26.72,5.89,,,,2.6,,15.7,,,,,1.04,,,,NA,,,125.71,14.89,,56.63,,16.86,,13.01,,,,,8.17,31.97,5.48,,,,102.66,14.77,16.26,,59.81,,325.09,,,
Swinstie,,12.77,16.3,162.91,,,,54.66,,,,,27.06,NA,8.31,72.59,,,16.39,,,0.51,,,17.72,26.97,,,,12.1,,,,187.67,,,NA,,6.28,,2.69,,23.43,91.62,21.96,,,,NA,,NA,,,,,NA,,,,20.41,,,3.41,143.32,,61.22,,,34.09,81.58,,,,,44.08,36.83,1.88,,,,NA,,4.94,14.8,96.24,,683.84,,,
Thurso,,,,,,,44.5,,,,,,10.01,,,,,,,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.025,,,,16.815,,,,,,,,,,,,,,,,,,,,,,30.725,,,,,20.8,151.82,,,,,,,,
Tillicoultry,,4.09,6.39,,,642.44,175.045,17.89,,,15.36,,40.055,38.85,,362.25,,,1.99,,,2.86,203.58,,97.6,69.59,,,,0.685,1.97,,,112.305,1113.635,,94.12,,10.695,,5.36,,312.585,94.545,3.22,,,,,110.015,0.82,,,74.91,,0.93,,,,119.3,,,12.585,25.36,,,,,,3.06,,,,,,269.41,1.47,,,,24.51,,0.205,54.19,192.19,,218.245,,,
Troqueer,114.895,0,25.53,46.34,36.99,142.84,65.77,2.03,5.22,,28.16,,179.65,9.61,14.56,79.27,131.1,0,3.53,63.07,,0.69,13.45,4.89,,80.65,,0.65,37.605,0,0,23.59,3.5,122.025,82.83,,107.96,,3.285,,13.68,29.1,171.05,,2.845,,,9.57,22.01,85.905,0,,0,39.435,,0.07,1.79,11.02,60.38,84.415,,0,3.45,25.225,,116.82,0.845,11.035,60.44,1.415,2.52,0,,,,68.315,0.115,0,25.605,5.38,98.78,58.52,0,0.865,16.66,9.4,80.525,45.05,0,0
Turriff,19.83,,12.75,,,361.34,,,,,,,,2.94,,108.935,24.63,,,,,0.89,7.57,,,109.05,,,,0,3.14,,,,194.415,,32.46,,,,0.95,,69.315,1.67,,,,,,62.17,0,,,4.83,,1.14,,,15.31,0,,,,19.46,,,,,,,,,,,,46.43,0,,,,14.79,,0,0,0,,579.255,,,
Uplawmoor,,0.19,,,,,,0,,,,,,,,,,,1.29,,,,,,0,,,,,,,,,,,,,,0.095,,,,,,0,,,,,,,,,,,,,,,,,,1.565,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Whitburn,,4.065,41.725,37.81,,458.3,67.97,3.895,,,16.2,,87.57,60.08,108.47,64.94,,,30.905,50.045,4.49,5.675,307.75,,63.82,52.5,,,15.22,0.195,0.29,,,183.62,107.02,,40.39,,35.825,73.5,17.845,140.24,71.48,41.44,3.29,4.45,,,345.66,61.805,2.55,,,60.6866666666667,,1.33,,,,48.71,,,38.54,53.43,293.39,61.56,,,,2.855,43.06,,,,26.83,54.5,2.235,,,,46.19,43.12,0.77,7.935,106.28,,203.34,100.275,,
Wick,,,,,,,86.25,,,,,,55.145,,,,,,,25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,,,18.27,,,,,,,,,,,,,,,,,,,,,,104.405,,,,,,7.04,,,,,,,,
Winchburgh,92.24,0.18,40.28,10.98,,1.04,169.16,0.435,,,189.91,,182.65,34.88,1.56,71.665,,,20.9,,,2.495,157.73,,16.51,,,,172.31,0,16.57,,,209.275,206.205,,118.47,,3.24,327.05,5.53,0.68,87.705,53.58,17.625,,,,6.38,16.45,5.705,,,90.71,,0.15,,,106.74,34.36,,,21.985,65.395,,9.03,,,NA,9.785,15.44,,,,5.065,77.155,0.11,,,,177.86,4.99,0,8.39,148.2,,1.37,54.87,,
