"","Site","Year","Month","Week","x"
"548","Philipshill",2021,"02","06",12.7899034414697
"549","Seafield",2021,"02","06",10.2267974219514
"550","Shieldhall",2021,"02","06",21.7460662059625
"551","Shotts",2021,"02","06",56.4939439253282
"552","Skellyton",2021,"02","06",NA
"553","Springfield",2021,"02","06",6.21732498537888
"554","St Andrews",2021,"02","06",0
"555","Stevenston",2021,"02","06",9.73970738745153
"556","Stirling",2021,"02","06",9.54157399104619
"557","Stonehouse",2021,"02","06",3.31923739974511
"558","Stornoway",2021,"02","06",NA
"559","Strathaven",2021,"02","06",2.60152971109349
"560","Swinstie",2021,"02","06",NA
"561","Troqueer",2021,"02","06",22.0073212092644
