,X2020.05.Read1,X2020.06.Read1,X2020.06.Read2,X2020.06.Read3,X2020.06.Read4,X2020.06.Read5,X2020.06.Read6,X2020.06.Read7,X2020.06.Read8,X2020.06.Read9,X2020.06.Read10,X2020.06.Read11,X2020.06.Read12,X2020.07.Read1,X2020.07.Read2,X2020.07.Read3,X2020.07.Read4,X2020.07.Read5,X2020.07.Read6,X2020.07.Read7,X2020.07.Read8,X2020.07.Read9,X2020.07.Read10,X2020.07.Read11,X2020.08.Read1,X2020.08.Read2,X2020.08.Read3,X2020.08.Read4,X2020.08.Read5,X2020.08.Read6,X2020.08.Read7,X2020.08.Read8,X2020.08.Read9,X2020.08.Read10,X2020.08.Read11,X2020.08.Read12,X2020.08.Read13,X2020.08.Read14,X2020.09.Read1,X2020.09.Read2,X2020.09.Read3,X2020.09.Read4,X2020.09.Read5,X2020.09.Read6,X2020.09.Read7,X2020.09.Read8,X2020.09.Read9,X2020.09.Read10,X2020.09.Read11,X2020.09.Read12,X2020.09.Read13,X2020.09.Read14,X2020.09.Read15,X2020.09.Read16,X2020.09.Read17,X2020.09.Read18,X2020.10.Read1,X2020.10.Read2,X2020.10.Read3,X2020.10.Read4,X2020.10.Read5,X2020.10.Read6,X2020.10.Read7,X2020.10.Read8,X2020.10.Read9,X2020.10.Read10,X2020.10.Read11,X2020.10.Read12,X2020.10.Read13,X2020.10.Read14,X2020.10.Read15,X2020.10.Read16,X2020.11.Read1,X2020.11.Read2,X2020.11.Read3,X2020.11.Read4,X2020.11.Read5,X2020.11.Read6,X2020.11.Read7,X2020.11.Read8,X2020.11.Read9,X2020.11.Read10,X2020.11.Read11,X2020.11.Read12,X2020.11.Read13,X2020.11.Read14,X2020.11.Read15,X2020.11.Read16,X2020.12.Read1,X2020.12.Read2,X2020.12.Read3,X2020.12.Read4,X2020.12.Read5,X2020.12.Read6,X2020.12.Read7,X2020.12.Read8,X2020.12.Read9,X2020.12.Read10,X2020.12.Read11,X2020.12.Read12,X2020.12.Read13,X2020.12.Read14,X2021.01.Read1,X2021.01.Read2,X2021.01.Read3,X2021.01.Read4,X2021.01.Read5,X2021.01.Read6,X2021.01.Read7,X2021.01.Read8,X2021.01.Read9,X2021.01.Read10,X2021.01.Read11,X2021.01.Read12,X2021.01.Read13,X2021.01.Read14,X2021.02.Read1,X2021.02.Read2,X2021.02.Read3,X2021.02.Read4,X2021.02.Read5,X2021.02.Read6,X2021.02.Read7,X2021.02.Read8,X2021.02.Read9,X2021.02.Read10,X2021.02.Read11,X2021.02.Read12,X2021.02.Read13,X2021.03.Read1,X2021.03.Read2,X2021.03.Read3,X2021.03.Read4,X2021.03.Read5,X2021.03.Read6,X2021.03.Read7,X2021.03.Read8,X2021.03.Read9,X2021.03.Read10,X2021.03.Read11,X2021.03.Read12,X2021.03.Read13,X2021.03.Read14,X2021.03.Read15,X2021.03.Read16,X2021.03.Read17,X2021.04.Read1,X2021.04.Read2,X2021.04.Read3,X2021.04.Read4,X2021.04.Read5,X2021.04.Read6,X2021.04.Read7,X2021.04.Read8,X2021.04.Read9,X2021.04.Read10,X2021.04.Read11,X2021.04.Read12,X2021.04.Read13,X2021.05.Read1,X2021.05.Read2,X2021.05.Read3,X2021.05.Read4,X2021.05.Read5,X2021.05.Read6,X2021.05.Read7,X2021.05.Read8,X2021.05.Read9,X2021.05.Read10,X2021.05.Read11,X2021.05.Read12,X2021.05.Read13,X2021.05.Read14,X2021.06.Read1,X2021.06.Read2,X2021.06.Read3,X2021.06.Read4,X2021.06.Read5,X2021.06.Read6,X2021.06.Read7,X2021.06.Read8,X2021.06.Read9,X2021.06.Read10,X2021.06.Read11,X2021.06.Read12,X2021.06.Read13,X2021.06.Read14,X2021.06.Read15,X2021.06.Read16,X2021.07.Read1,X2021.07.Read2,X2021.07.Read3,X2021.07.Read4,X2021.07.Read5,X2021.07.Read6,X2021.07.Read7,X2021.07.Read8,X2021.07.Read9,X2021.07.Read10,X2021.07.Read11,X2021.07.Read12,X2021.07.Read13,X2021.07.Read14,X2021.07.Read15,X2021.07.Read16,X2021.08.Read1,X2021.08.Read2,X2021.08.Read3,X2021.08.Read4,X2021.08.Read5,X2021.08.Read6,X2021.08.Read7,X2021.08.Read8,X2021.08.Read9,X2021.08.Read10,X2021.08.Read11,X2021.08.Read12,X2021.08.Read13,X2021.08.Read14,X2021.08.Read15,X2021.08.Read16,X2021.09.Read1,X2021.09.Read2,X2021.09.Read3,X2021.09.Read4,X2021.09.Read5,X2021.09.Read6,X2021.09.Read7,X2021.09.Read8,X2021.09.Read9,X2021.09.Read10,X2021.09.Read11,X2021.09.Read12,X2021.09.Read13,X2021.09.Read14,X2021.09.Read15,X2021.09.Read16,X2021.10.Read1,X2021.10.Read2,X2021.10.Read3,X2021.10.Read4,X2021.10.Read5,X2021.10.Read6,X2021.10.Read7,X2021.10.Read8,X2021.10.Read9,X2021.10.Read10,X2021.10.Read11,X2021.10.Read12,X2021.10.Read13,X2021.10.Read14,X2021.10.Read15,X2021.10.Read16,X2021.11.Read1,X2021.11.Read2,X2021.11.Read3,X2021.11.Read4,X2021.11.Read5,X2021.11.Read6,X2021.11.Read7,X2021.11.Read8,X2021.11.Read9,X2021.11.Read10,X2021.11.Read11,X2021.11.Read12,X2021.11.Read13,X2021.11.Read14,X2021.11.Read15,X2021.11.Read16,X2021.11.Read17,X2021.11.Read18,X2021.12.Read1,X2021.12.Read2,X2021.12.Read3,X2021.12.Read4,X2021.12.Read5,X2021.12.Read6,X2021.12.Read7,X2021.12.Read8,X2021.12.Read9,X2021.12.Read10,X2021.12.Read11,X2021.12.Read12,X2022.01.Read1,X2022.01.Read2,X2022.01.Read3,X2022.01.Read4,X2022.01.Read5,X2022.01.Read6,X2022.01.Read7,X2022.01.Read8
Banchory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,587,2392,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,2203,1308,NA,0,993,0,0,0,NA,NA,NA,NA,NA,NA,426,556.443277769197,1224.82914984613,1674.90325607702,9716.32930888514,5795.4739253812,1462.28999227772,582.969127896893,9979.469544614,NA,NA,NA,NA,NA,NA,NA,12901,35086,18342,22461,30711,67907,19651,7295.27612144646,NA,NA,NA,NA,NA,NA,NA,NA,13843,8329.79001778873,6873.5,49422,15506,247314,77486,NA,NA,NA,NA,NA,NA,NA,NA,NA,202202,1118946,114549,87542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191309,121617,123604,75863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44657,640384,122832,92211,86454,87808,63127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20734,39193,118184,NA,NA,NA,NA,NA,NA,NA,NA,NA,155533,NA,NA,NA,NA,NA,NA,NA
Banff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,NA,0,0,0,1792,0,NA,NA,NA,NA,NA,NA,444,924,1649,1133,0,0,949,0,936,0,901,0,430,NA,6325.54897328273,402.272020346566,766.847703326345,9360.44950478456,149.708929792643,211.357950127666,336.620032015953,0,1174.60133090034,8075.83793808183,35081,NA,NA,NA,NA,NA,82690,50219,20337,143045,NA,77679,18419,193025,97349,35817,NA,NA,NA,NA,NA,NA,21459,375741,871845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725114,1657434,1279859,629511,677737,271561,445335,NA,NA,NA,NA,NA,NA,NA,NA,NA,640685,145079,177742,NA,142876,98550,40190,201780,79960,685265,NA,NA,NA,NA,NA,NA,NA,NA,NA,89417,41354,46116,146879,81824,115065,95417,39005,NA,NA,NA,NA,NA,NA,NA,86204,NA,14904,7005.99173412274,78066,103886,190860,NA,NA,NA,NA,NA,116272,NA,NA,NA,NA,NA,NA,NA
Bathgate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12293,13479,0,61048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72119,110433,12926,40004,46940,NA,18848,59636,NA,NA,NA,NA,NA,54297,33989,4693.0701682485,7454,9954,13965,13436,11927,3682,NA,NA,NA,NA,NA,NA,NA,NA,51697,24433,NA,NA,1785,2950,3651,4468,NA,NA,NA,NA,NA,3445,5835,NA,18425,6906,NA,NA,5542,0,NA,NA,NA,NA,NA,33808,5091.22648235576,NA,599.180604607854,NA,22554,197241,362803,NA,NA,NA,NA,NA,NA,NA,NA,558525,66978,265670,93447,114721,513757,54632,51751,NA,NA,NA,NA,NA,NA,NA,NA,161264,203006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194213,205206,233655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89090,168380,85045,97351,NA,41717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30381,90602,48230,275018,120845,NA,NA,191942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41578,NA,113418,69085,282818,NA,NA,NA,NA,NA,NA,NA,42000,26622,NA,NA,NA,NA,NA,NA
Biggar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24495,0,0,20087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20530,1277,760,641,NA,NA,NA,NA,NA,NA,NA,NA,NA,1513,64461,700,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackburn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54829,42841,23016,21683,14462,2450,NA,NA,NA,NA,NA,NA,NA,NA,22147,43062,56749,49144,NA,NA,NA,NA,NA,NA,NA,NA,NA,11786,15539,16111,3924,11392,13685,5434,47815,NA,23351,NA,NA,NA,NA,NA,NA,NA,8877,23828,12176,9532,35621,24216,30175,NA,NA,NA,NA,NA,NA,12251,3143,3255,1498,29388,3188,8909,25475,55582,NA,NA,NA,NA,NA,27283,68005,52663,55844,21155,26107,46866,139077,NA,NA,NA,NA,NA,NA,NA,NA,172561,142083,296220,180053,169580,98734,108830,NA,NA,NA,NA,NA,NA,NA,NA,NA,42617,1239318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230443,667298,252766,133705,65610,122511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4363.44409587623,38787,76257,195192,30045,45915,NA,344623,NA,NA,NA,NA,NA,NA,NA,NA,NA,75945,107865,77323,128547,60535,53918,115515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235966,21315,88529,NA,236362,NA,NA,NA,NA,NA,NA,NA,71588,NA,NA,NA,NA,NA,NA,NA
Blackridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2064.93431919614,998.915522579139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2365,3978.81341250967,6648,43456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97715,70668,33872,49866,93822,137177,86958,NA,NA,NA,NA,NA,NA,16631,2711,839.82369010442,NA,384.856546099427,2404.0334478326,3907.99128907118,9940,5157,NA,NA,NA,NA,NA,NA,NA,NA,29152,19474,157271,94463,405827,10367,8272,NA,NA,NA,NA,NA,NA,17639,7316,39428,27365,22111,27670,52673,3357,NA,NA,NA,NA,NA,NA,12490,21356,8669.53906708219,27227,2461.93410521421,43639,21593,53228,74899,NA,NA,NA,NA,NA,NA,NA,66281,274474,2126044,5007354,103366,409003,156533,NA,NA,NA,NA,NA,NA,NA,NA,NA,134875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174238,439697,1165431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37892,33320,62614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9406.02201340376,33931,1748.71443236793,NA,49798,96790,57562,117296,87358,NA,NA,NA,NA,NA,NA,NA,NA,NA,89667,223012,24430,NA,NA,NA,NA,NA,NA,NA,NA,NA,14070,25306,43349,NA,NA,NA,NA,NA
Blackwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120248,406621,25518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98253,9784,55129,93444,NA,NA,NA,NA,NA,NA,NA,NA,NA,4736,633.263433508531,1988,8858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6116,0,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36023,59357,38819,18537,17746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710422,1222774,644470,269243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232701,557769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30680,49997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22253,64848,51225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13138,227841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40460,NA,NA,NA,NA,NA,NA,NA
Blairgowrie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3130,8066.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614,127712,82158,30109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16660,1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5717,2470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13043,4230.50963554167,19224,17855,26308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85490,275281,38453,121448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81673,57652,111647,102601,155956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149057,277884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31463,1130147,452409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181488,117032,613077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31615,41212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106647,NA,NA,NA,NA,NA,NA,NA
Boness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48793,18497,25461,170938,NA,NA,NA,NA,NA,NA,NA,NA,NA,2034,3327,4384,1299.44851564342,1928.85174213987,31599,8128,8187,4370,2546,NA,NA,NA,NA,NA,NA,NA,5066,14794,4525,4861,1469,0,NA,NA,NA,NA,NA,NA,NA,322,397,1312,2436,1157,2810,2819,0,NA,NA,NA,NA,NA,NA,0,11915,6645.84014432551,2254.49474486114,309.503839599193,0,20065,55544,22167,NA,NA,NA,NA,NA,NA,NA,170294,91907,NA,336147,84470,42165,70719,NA,NA,NA,NA,NA,NA,NA,NA,NA,90181,273959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372499,1000681,244206,42662,29819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35057,20156,16752,42134,266724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35568,26147,31028,31314,86006,23725,85246,35143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91986,198415,116390,223524,NA,NA,NA,NA,NA,NA,NA,NA,215601,67022,NA,NA,NA,NA,NA,NA
Bonnybridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84615,44559,39955,53914,NA,NA,NA,NA,NA,NA,NA,NA,NA,122460,19936,11405,12785,11166,25104,NA,35084,29800,NA,73785,8837,NA,NA,NA,NA,NA,16234,1450,5485,1209,2287,750,NA,NA,NA,NA,NA,NA,NA,6321,547,NA,15895,4118,3910,30121,23711,NA,NA,NA,NA,NA,NA,40522,13320,23140,2997.28390309669,9691.81021611995,7365.55233568563,30656,17589,113882,NA,NA,NA,NA,NA,NA,NA,241480,240127,146492,46302,113820,76161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119024,218560,148862,110970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231872,679911,287601,287630,293844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272790,110571,85899,108100,57133,121156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48195,72641,68111,54771,73771,407266,472239,378204,NA,NA,NA,NA,NA,NA,NA,NA,NA,108920,211546,77978,NA,NA,NA,NA,NA,NA,NA,NA,NA,111253,NA,NA,NA,NA,NA,NA,NA
Bothwellbank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50564,67947,31869,52351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2885,20710,46224,25492,NA,NA,NA,NA,NA,NA,NA,NA,NA,24338,10933,15112,8447,7377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8169,8236,2303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4731,3117,7115,11258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10440.5913008699,17020,14392,25530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158116,479350,66028,196492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1298700,658297,311387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129797,119477,161250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70341,94872,68928,101074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44827,259310,750128,NA,NA,NA,NA,NA,NA,NA,NA,NA,380537,NA,NA,NA,NA,NA,NA,NA
Bowhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10342,16320,4175,1304,461,1064,0,NA,NA,NA,NA,NA,NA,1048,4400,5492.383449215,2313.77681922682,1326.97546247163,321.724240452017,342,869,608,NA,NA,NA,NA,NA,NA,NA,NA,753,0,0,NA,338,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1101,0,475,389,1548,NA,NA,NA,NA,NA,NA,923.351273418116,8975.2819316244,1950.95320053863,29098,10378.445040381,84589,34818,23866,39580,NA,NA,NA,NA,NA,NA,NA,20178,20671,56598,89756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219176,826366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111089,409775,314952,61145,48357,133036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190533,115134,78510,164499,216359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38250,317055,190655,116259,74342,NA,76947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91000,65007,13936,106796,NA,NA,NA,NA,NA,NA,NA,NA,134210,103001,NA,NA,NA,NA,NA,NA
