,Site,Year,Month,Week,x
4156,Carbarns,2021,09,35,275439
4157,Coldstream,2021,09,35,674858
4158,Cupar,2021,09,35,96862
4159,Dalbeattie,2021,09,35,315605
4160,Dalmuir,2021,09,35,535886
4161,Dalmuir - Auchinairn (6298),2021,09,35,781654
4162,Dalmuir - Auchinairn (6330),2021,09,35,301971
4163,Denny,2021,09,35,2926
4164,Dunblane,2021,09,35,191626
4165,Dunfermline,2021,09,35,660342
4166,Dunnswood,2021,09,35,880179
4167,Duns,2021,09,35,12872
4168,East Calder,2021,09,35,265564
4169,Ellon,2021,09,35,240151
4170,Eyemouth,2021,09,35,128219
4171,Fairlie,2021,09,35,14464.5
4172,Falkirk,2021,09,35,373476
4173,Fauldhouse,2021,09,35,1179788
4174,Forfar,2021,09,35,124593
4175,Forres,2021,09,35,34801
4176,Fraserburgh,2021,09,35,389664
4177,Galashiels,2021,09,35,197061
4178,Guardbridge,2021,09,35,223510
4179,Hamilton,2021,09,35,724836
4180,Hatton,2021,09,35,566474
4181,Hatton - Fintry West,2021,09,35,107269
4182,Hawick,2021,09,35,123645
4183,Huntly,2021,09,35,253592
4184,Inverclyde,2021,09,35,253459
4185,Inverclyde - Gourock,2021,09,35,195962
4186,Inverurie,2021,09,35,570794
4187,Ironmill Bay,2021,09,35,77367
4188,Kelso,2021,09,35,80130
4189,Kirkcaldy,2021,09,35,701213
4190,Kirkwall,2021,09,35,22317
4191,Langholm,2021,09,35,NA
4192,Largs,2021,09,35,36489
4193,Linlithgow,2021,09,35,139321
4194,Loch Ryan,2021,09,35,306961
4195,Lockerbie,2021,09,35,203033.5
4196,Lossiemouth,2021,09,35,316039.5
4197,Meadowhead,2021,09,35,617828
4198,Meadowhead - Kilmarnock HMP,2021,09,35,54490
4199,Nairn,2021,09,35,83704
4200,Neilston,2021,09,35,314772
4201,Newburgh,2021,09,35,124866
4202,Newport & Tayport,2021,09,35,514188
4203,Nigg,2021,09,35,323955
4204,Paisley,2021,09,35,782909
4205,Paisley - Blackhall,2021,09,35,628750
4206,Paisley - Brediland,2021,09,35,11238
4207,Peebles,2021,09,35,72992
4208,Penicuik,2021,09,35,684361
4209,Perth,2021,09,35,179722
4210,Peterhead,2021,09,35,95609
4211,Philipshill - Hairmyres Hospital,2021,09,35,0
4212,Sanquhar,2021,09,35,NA
4213,Seafield,2021,09,35,295955.5
4214,Seafield - Cockenzie,2021,09,35,NA
4215,Seafield - Western General,2021,09,35,NA
4216,Selkirk,2021,09,35,89895
4217,Shieldhall,2021,09,35,658446
4218,Shieldhall - Barrhead,2021,09,35,713180
4219,Shieldhall - Gorbals,2021,09,35,74444
4220,Shieldhall - Pollockshields West,2021,09,35,2174801
4221,Springfield,2021,09,35,585907
4222,St Andrews,2021,09,35,143927
4223,St Andrews - University (2979),2021,09,35,20887
4224,St Andrews - University (4964),2021,09,35,14784
4225,Stevenston,2021,09,35,167332
4226,Stevenston - Stevenston East,2021,09,35,NA
4227,Stevenston - Stevenston West,2021,09,35,NA
4228,Stirling,2021,09,35,18168
4229,Stirling - University,2021,09,35,21562
4230,Tillicoultry,2021,09,35,415509.5
4231,Troqueer,2021,09,35,231792
4232,Turriff,2021,09,35,881486
4233,Whitburn,2021,09,35,458032
4234,Winchburgh,2021,09,35,0
4235,Allanfearn,2020,08,36,1124
4236,Dunfermline,2020,08,36,0
4237,Levenmouth,2020,08,36,0
4238,Nigg,2020,08,36,2628
4239,Seafield,2020,08,36,3866
4240,Shieldhall,2020,08,36,6013
4241,Allanfearn,2020,09,36,4377.66666666667
4242,Annan,2020,09,36,0
4243,Carbarns,2020,09,36,9226.33333333333
4244,Dalmuir,2020,09,36,9130
4245,Dunfermline,2020,09,36,321.333333333333
4246,Falkirk,2020,09,36,1903
4247,Fort William,2020,09,36,560
4248,Galashiels,2020,09,36,0
4249,Hamilton,2020,09,36,1870
4250,Hatton,2020,09,36,1870
4251,Hawick,2020,09,36,6326
4252,Helensburgh,2020,09,36,0
4253,Kirkwall,2020,09,36,0
4254,Lerwick,2020,09,36,0
4255,Levenmouth,2020,09,36,0
4256,Lockerbie,2020,09,36,0
4257,Meadowhead,2020,09,36,3172
4258,Nairn,2020,09,36,0
